date,killer,time,map,kills,bloodpoints,salt,addon1,addon2,perk1,perk2,perk3,perk4,crossplay,platform,notes
2021-01-28,Pig,1215,,4,25678,0,Combat Straps,Video Tape,Monitor,Whispers,Enduring,BBQ,0,PS4,
2021-01-28,Pig,1228,,3,20548,0,Combat Straps,Video Tape,Monitor,Whispers,Enduring,BBQ,0,PS4,
2021-01-28,Pig,1245,,4,23325,0,Combat Straps,Video Tape,Monitor,Whispers,Enduring,BBQ,0,PS4,
2021-01-28,Pig,1303,,1,20713,0,Combat Straps,Video Tape,Monitor,Whispers,Enduring,BBQ,0,PS4,
2021-01-28,Pig,1327,,4,26370,0,Combat Straps,Video Tape,Monitor,Whispers,Enduring,Bamboozle,0,PS4,
2021-01-28,Pig,1344,,0,23207,0,Combat Straps,Last Will,Monitor,Whispers,Enduring,Bamboozle,0,PS4,
2021-01-28,Pig,1412,,1,23768,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Bamboozle,0,PS4,
2021-01-28,Pig,1618,,2,20428,0,Tampered Timer,Jigsaw's Sketch,Monitor,Whispers,Enduring,Bamboozle,1,PS4,
2021-01-28,Pig,1640,,4,31096,0,Combat Straps,Video Tape,Monitor,Whispers,Enduring,Brutal,1,PS4,
2021-01-28,Pig,2058,,1,16477,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Brutal,1,PS4,
2021-01-28,Pig,2118,,4,21055,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Brutal,1,PS4,
2021-01-28,Pig,2138,,4,16074,1,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Brutal,0,PS4,
2021-01-29,Pig,1038,,4,24657,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Brutal,0,PS4,
2021-01-29,Pig,1054,,1,20008,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Brutal,1,PS4,
2021-01-29,Pig,1119,,3,28429,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Brutal,0,PS4,
2021-01-29,Pig,1141,,4,26038,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Brutal,1,PS4,
