date,survivor,time,killer,map,self survived,total survived,bloodpoints,killersalt,survivorsalt,swfcount,perk1,perk2,perk3,perk4,crossplay,platform,notes
2021-05-01,Claudette,1925,Wraith,Shelter Woods,1,4,13600,,,2,Self-Care,Botany Knowledge,Empathy,Leader,1,PC,
2021-05-01,Adam,1942,Cannibal,Family Residence,0,0,8663,,,2,Autodidact,Diversion,Deliverance,None,1,PC,
2021-05-01,Adam,1956,Pyramid Head,Blood Lodge,1,2,16736,,,2,Autodidact,Diversion,Deliverance,None,1,PC,
2021-05-01,Claudette,2010,Deathslinger,Gas Heaven,0,1,13052,,,2,Self-Care,Botany Knowledge,Empathy,Leader,1,PC,
2021-05-01,Dwight,2036,Deathslinger,Treatment Theater,1,4,23438,,,4,Ace in the Hole,Plunderer's Instinct,Appraisal,Bond,1,PC,
2021-05-01,Dwight,2053,Legion,Coal Tower,0,2,12011,,,4,Ace in the Hole,Plunderer's Instinct,Appraisal,Bond,1,PC,
2021-05-01,Claudette,2112,Pyramid Head,Azarov's Resting Place,0,0,14987,,,4,Self-Care,Botany Knowledge,Empathy,Prove Thyself,1,PC,
2021-05-01,Claudette,2129,Cannibal,Coal Tower,1,3,19119,,,4,Self-Care,Botany Knowledge,Empathy,Leader,1,PC,
2021-05-03,Claudette,818,Deathslinger,Wrecker's Yard,1,4,21352,,,1,Self-Care,Botany Knowledge,Empathy,Prove Thyself,1,PC,
2021-05-04,Nancy,1550,Huntress,Shelter Woods,1,3,16084,,,1,Fixated,Inner Strength,Better Together,None,1,PC,
2021-05-04,Claudette,1610,Hillbilly,Rotten Fields,1,2,18895,,,1,Self-Care,Botany Knowledge,Empathy,Leader,1,PC,
2021-05-04,Claudette,1631,Spirit,Fractured Cowshed,1,4,18434,,,1,Self-Care,Botany Knowledge,Empathy,Leader,1,PC,
2021-05-04,Claudette,1730,Doctor,Fractured Cowshed,1,4,19008,,,1,Self-Care,Botany Knowledge,Empathy,Leader,1,PC,
2021-05-04,Claudette,1747,Twins,Blood Lodge,0,0,16634,,,1,Self-Care,Botany Knowledge,Empathy,Prove Thyself,1,PC,
2021-05-04,Claudette,1807,Cannibal,Treatment Theater,0,2,12064,,,1,Self-Care,Botany Knowledge,Empathy,Prove Thyself,1,PC,
2021-05-04,Claudette,2049,Huntress,Pale Rose,1,4,21651,,,1,Self-Care,Botany Knowledge,Empathy,Prove Thyself,1,PC,
2021-05-04,Claudette,2109,Demogorgon,Gas Heaven,1,4,14708,,,1,Self-Care,Botany Knowledge,Empathy,Leader,1,PC,
2021-05-04,Laurie,1948,Demogorgon,Ormond,1,2,21566,,,1,Decisive Strike,Object of Obsession,Sole Survivor,None,1,PC,
